study,questionnaire,question,item,answer_list,text,question_text,text_de,question_text_de,dataset,variable
soep-pretest,pre_2001,1,1,,your health?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",mit Ihrer Gesundheit?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf01
soep-pretest,pre_2001,1,2,,(if employed)  your job?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",(falls Sie erwerbstätig sind)  mit Ihrer Arbeit?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf02
soep-pretest,pre_2001,1,3,,(if working in household)  your housework?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",(falls Sie im Haushalt tätig sind)  mit Ihrer Tätigkeit im Haushalt?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf03
soep-pretest,pre_2001,1,4,,your household income?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",mit dem Einkommen Ihres Haushalts?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf04
soep-pretest,pre_2001,1,5,,your place of dwelling?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",mit Ihrer Wohnung?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf05
soep-pretest,pre_2001,1,6,,your free time?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",mit Ihrer Freizeit?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf06
soep-pretest,pre_2001,1,7,,(if you have small children)  the child care available?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",(falls Sie Kinder im Vorschulalter haben)  mit den vorhandenen Möglichkeiten der Kinderbetreuung?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf07
soep-pretest,pre_2001,1,8,,"the health insurance, the unemployment-, pension and nursing insurance in the Federal Republic, thus with what is called the social safety net?","How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .","mit der Krankenversicherung, der Arbeitslosen-, der Renten- und der Pflegeversicherung in der Bundesrepublik, also mit dem, was man das Netz der sozialen Sicherung nennt?","Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf08
soep-pretest,pre_2001,1,9,,the upcoming introduction of the euro?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",mit der bevorstehenden Einführung des EURO?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf09
soep-pretest,pre_2001,1,10,,the state of the environment in this area?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",mit dem Zustand der Umwelt hier in der Region?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf10
