study,questionnaire,answer_list,value,label,label_de
soep-pretest,pre_2001,1,0,Totally unhappy,Ganz und gar unzufrieden
soep-pretest,pre_2001,1,10,Totally happy,Ganz und gar zufrieden
soep-pretest,pre_2001,2,1,Yes,Ja
soep-pretest,pre_2001,2,2,No,Nein
soep-pretest,pre_2001,3,1,Maternity leave,Mutterschutz
soep-pretest,pre_2001,3,2,Parental leave,Erziehungsurlaub
soep-pretest,pre_2001,3,3,None,Keins von beiden
soep-pretest,pre_2001,4,1,Yes,Ja
soep-pretest,pre_2001,4,2,No,Nein
soep-pretest,pre_2001,4_1,1,Yes: Reduced working-hours,Ja und zwar: Reduzierte Arbeitszeit
soep-pretest,pre_2001,4_1,2,Yes: Reduced salary for temporarily unchanged working-hours (in saving phase),Ja und zwar: Blockmodell (in Ansparphase)
soep-pretest,pre_2001,4_1,3,Yes: Blockmodel (zero working time),Ja und zwar: Blockmodell (Arbeitszeit Null)
soep-pretest,pre_2001,5,1,Yes,Ja
soep-pretest,pre_2001,5,2,No,Nein
soep-pretest,pre_2001,7,1,Permanently,Ständig
soep-pretest,pre_2001,7,2,Temporarily,Zeitweise
soep-pretest,pre_2001,7,3,No,Nein
soep-pretest,pre_2001,13,1,Yes,Ja
soep-pretest,pre_2001,13,2,No,Nein
soep-pretest,pre_2001,14,1,Primary school,Hauptschule
soep-pretest,pre_2001,14,2,Secondary School,Realschule
soep-pretest,pre_2001,14,3,High School,Gymnasium
soep-pretest,pre_2001,14,4,Comprehensive school,Gesamtschule
soep-pretest,pre_2001,14,5,Night school,Abendschule
soep-pretest,pre_2001,14,6,Specialized upper secondary school,Fachoberschule
soep-pretest,pre_2001,14_1,1,"Technical college, school of engineering","Fachhochschule, Ingenieurschule"
soep-pretest,pre_2001,14_1,2,University,"Universität, Hochschule"
soep-pretest,pre_2001,14_2,1,"Professional or vocational retraining (""Umschulung"")",Berufliche Umschulung
soep-pretest,pre_2001,14_2,2,Further education in your profession,Berufliche Fortbildung
soep-pretest,pre_2001,14_2,3,Professional rehabilitation,Berufliche Rehabilitation
soep-pretest,pre_2001,14_2,4,Further education in politics or general,Allgemeine oder politische Weiterbildung
soep-pretest,pre_2001,14_2,5,Other,Sonstiges
soep-pretest,pre_2001,14_3,1,"Primary vocational training year, vocational preparatory year (""Berufsgrundbildungsjahr, Berufsvorbereitungsjahr"")","Berufsgrundbildungsjahr, Berufsvorbereitungsjahr"
soep-pretest,pre_2001,14_3,2,Vocational school without apprenticeship,Berufsschule OHNE Lehre
soep-pretest,pre_2001,14_3,3,Apprenticeship,Lehre
soep-pretest,pre_2001,14_3,4,"Full-time vocational school (""Berufsfachschule, Handelsschule"")","Berufsfachschule, Handelsschule"
soep-pretest,pre_2001,14_3,5,School for health care professions,Schule des Gesundheitswesens
soep-pretest,pre_2001,14_3,6,"Trade and technical school (""Fachschule"", for example, ""Meister-, Technikerschule"")","Fachschule (z.B. Meister-, Technikerschule)"
soep-pretest,pre_2001,14_3,7,Education as public employee,Beamtenausbildung
soep-pretest,pre_2001,14_3,8,Other,Sonstiges
soep-pretest,pre_2001,15,1,Employed full-time,Voll erwerbstätig
soep-pretest,pre_2001,15,2,Employed part-time,In Teilzeitbeschäftigung
soep-pretest,pre_2001,15,3,Completing in-service training (betriebliche Ausbildung) / apprenticeship (Lehre) / in-service retraining (betriebliche Umschulung)               ,In betrieblicher Ausbildung / Lehre oder betrieblicher Umsch
soep-pretest,pre_2001,15,4,In marginal (geringfügig) or irregular employment (unregelmäßig erwerbstätig),Geringfügig oder unregelmäßig erwerbstätig
soep-pretest,pre_2001,15,5,"In partial retirement, phase with zero working hours (Altersteilzeit mit Arbeitszeit null)",In Altersteilzeit mit Arbeitszeit Null
soep-pretest,pre_2001,15,6,Completing compulsory military service (Wehrpflicht),Als Wehrpflichtiger beim Wehrdienst
soep-pretest,pre_2001,15,7,Completing community service as substitute for compulsory military service (Zivildienst) or as a voluntary social year (freiwilliges soziales Jahr),Zivildienstleistender / Freiwilliges soziales Jahr
soep-pretest,pre_2001,15,8,Not employed,Nicht erwerbstätig
soep-pretest,pre_2001,16,1,Easy,Leicht
soep-pretest,pre_2001,16,2,Difficult,Schwierig
soep-pretest,pre_2001,16,3,Almost impossible,Praktisch unmöglich
soep-pretest,pre_2001,17,1,"No, definitely not","Nein, ganz sicher nicht"
soep-pretest,pre_2001,17,2,Probably not,Eher unwahrscheinlich
soep-pretest,pre_2001,17,3,Probably,Wahrscheinlich
soep-pretest,pre_2001,17,4,"Yes, definitely",Ganz sicher
soep-pretest,pre_2001,18,1,Immediately,Möglichst sofort
soep-pretest,pre_2001,18,2,Within the following year,Innerhalb des kommenden Jahres
soep-pretest,pre_2001,18,3,In 2 up to 5 years,In 2 bis 5 Jahren
soep-pretest,pre_2001,18,4,Later than in 5 years,"Erst später, in mehr als 5 Jahren"
soep-pretest,pre_2001,19,1,Full-time,Vollzeitbeschäftigung
soep-pretest,pre_2001,19,2,Part-time,Teilzeitbeschäftigung
soep-pretest,pre_2001,19,3,Either,Beides recht
soep-pretest,pre_2001,19,4,I'm not sure yet,Weiß noch nicht
soep-pretest,pre_2001,20_1,1,"No (can't say, depends)","Nein (nicht zu sagen, kommt drauf an)"
soep-pretest,pre_2001,20_1,2,"Yes, possible to answer","Ja, Angabe möglich"
soep-pretest,pre_2001,21,1,Yes,Ja
soep-pretest,pre_2001,21,2,No,Nein
soep-pretest,pre_2001,22,1,Yes,Ja
soep-pretest,pre_2001,22,2,No,Nein
soep-pretest,pre_2001,23,1,Yes,Ja
soep-pretest,pre_2001,23,2,No,Nein
soep-pretest,pre_2001,25,1,I have entered employment for the first time in my life,Habe erstmals in meinem Leben eine Erwerbstätigkeit aufgenom
soep-pretest,pre_2001,25,2,I have started up with paid employment again after not having been employed for a while,Habe nach einer Unterbrechung jetzt wieder eine Erwerbstätig
soep-pretest,pre_2001,25,3,I have started a new position with a different employer (for temporary workers this includes working in an temporary workplace),Habe eine Stelle bei einem neuen Arbeitgeber angetreten (bei
soep-pretest,pre_2001,25,4,I have become self-employed,Habe eine neue Tätigkeit als Selbständiger aufgenommen
soep-pretest,pre_2001,25,5,I have been taken on by the company in which I did my apprenticeship / worked as part of a state employment program / was employed on a free-lance basis,Bin vom Betrieb übernommen worden (war vorher dort in Ausbilung/ in ABM/ oder als freier Mitarbeiter tätig)
soep-pretest,pre_2001,25,6,I have changed positions within the same company,Habe innerhalb des Unternehmens die Stelle gewechselt
soep-pretest,pre_2001,26,1,Improved,Verbessert
soep-pretest,pre_2001,26,2,About the same,Etwa gleichwertig
soep-pretest,pre_2001,26,3,Worse,Verschlechtert
soep-pretest,pre_2001,27,1,More,Mehr
soep-pretest,pre_2001,27,2,About the same,Gleich viel
soep-pretest,pre_2001,27,3,Less,Weniger
soep-pretest,pre_2001,28,1,Actively looking for job,Aktiv gesucht
soep-pretest,pre_2001,28,2,Just came up,Hat sich so ergeben
soep-pretest,pre_2001,29,1,Through the Employment Office ('Arbeitsamt'),Über das Arbeitsamt
soep-pretest,pre_2001,29,2,Through a private employment agency,Über eine private Stellenvermittlung/ Agentur
soep-pretest,pre_2001,29,3,An advertisement in the newspaper,Über eine Stellenanzeige in der Zeitung
soep-pretest,pre_2001,29,4,An advertisement in the internet,Über eine Stellenanzeige im Internet
soep-pretest,pre_2001,29,5,Through friends or relatives,"Über Bekannte, Freunde, Angehörige"
soep-pretest,pre_2001,29,6,I have returned to a former employer,Bin zum früheren Arbeitgeber zurückgekehrt
soep-pretest,pre_2001,29,7,Other or none of the above,Sonstiges bzw. nicht zutreffend
soep-pretest,pre_2001,31,1,Yes,Ja
soep-pretest,pre_2001,31,2,No,Nein
soep-pretest,pre_2001,31,3,Currently in education or training,Derzeit in Ausbildung
soep-pretest,pre_2001,31,4,I have not been trained or educated for a particular profession  ,Habe keinen Beruf erlernt
soep-pretest,pre_2001,32,1,No completed vocational training/apprenticeship required,Kein beruflicher Ausbildungsabschluss erforderlich
soep-pretest,pre_2001,32,2,Completed vocational training/apprenticeship required,Eine abgeschlossene Berufsausbildung erforderlich
soep-pretest,pre_2001,32,3,"""Fachhochschule"" degree required",Ein abgeschlossenes Fachhochschulstudium erforderlich
soep-pretest,pre_2001,32,4,Completed education at a university or other institution of higher education,Ein abgeschlossenes Universitäts- oder Hochschulstudium
soep-pretest,pre_2001,33,1,Only a short introduction on the job,Nur eine kurze Einweisung am Arbeitsplatz
soep-pretest,pre_2001,33,2,A longer in-firm training period ,Eine längere Einarbeitung im Betrieb
soep-pretest,pre_2001,33,3,Completion of special training or courses,Der Besuch von besonderen Lehrgängen / Kursen
soep-pretest,pre_2001,34,1,Yes,Ja
soep-pretest,pre_2001,34,2,No,Nein
soep-pretest,pre_2001,36,1,Less than 5 people,Unter 5 Beschäftigte
soep-pretest,pre_2001,36,2,"From 5 up to, but less than 20 people....",5 bis unter 20 Beschäftigte
soep-pretest,pre_2001,36,3,"from 20 up to, but less than 100 people",20 bis unter 100 Beschäftigte
soep-pretest,pre_2001,36,4,"from 100 up to, but less than 200 people",100 bis unter 200 Beschäftigte
soep-pretest,pre_2001,36,5,"from 200 up to, but less than 2,000 people",200 bis unter 2.000 Beschäftigte
soep-pretest,pre_2001,36,6,"2,000 or more people",2.000 und mehr Beschäftigte
soep-pretest,pre_2001,36,7,"Not applicable, because I am selfemployed without further employees","Trifft nicht zu, da selbständig ohne weitere Beschäftigte"
soep-pretest,pre_2001,38,1,Yes,Ja
soep-pretest,pre_2001,38,2,No,Nein
soep-pretest,pre_2001,39,1,Temporary,Befristetes Arbeitsverhältnis
soep-pretest,pre_2001,39,2,Unlimited,Habe unbefristeten Arbeitsvertrag
soep-pretest,pre_2001,39,3,"Not applicable, do not have an employment contract",Trifft nicht zu / habe keinen Arbeitsvertrag
soep-pretest,pre_2001,39_1,1,Yes,Ja
soep-pretest,pre_2001,39_1,2,No,Nein
soep-pretest,pre_2001,40,1,Untrained worker,Ungelernte Arbeiter
soep-pretest,pre_2001,40,2,"Trained worker (""angelernt"")",Angelernte Arbeiter
soep-pretest,pre_2001,40,3,Trained and employed as skilled worker,Gelernte und Facharbeiter
soep-pretest,pre_2001,40,4,"Foreman (""Vorarbeiter"")","Vorarbeiter, Kolonnenführer"
soep-pretest,pre_2001,40,5,"Master craftsman (""Meister"")","Meister, Polier"
soep-pretest,pre_2001,40_1,1,None,Keine
soep-pretest,pre_2001,40_1,2,1-9,1-9
soep-pretest,pre_2001,40_1,3,10 and more,10 und mehr
soep-pretest,pre_2001,40_2,1,Yes,Ja
soep-pretest,pre_2001,40_2,2,No,Nein
soep-pretest,pre_2001,40_3,1,Apprentice / trainee in industry of technology,Auszubildende / gewerblich-technisch
soep-pretest,pre_2001,40_3,2,Apprentice / trainee in trade and commerce,Auszubildende / kaufmännisch
soep-pretest,pre_2001,40_3,3,"Volunteer, intern, etc","Volontäre, Praktikanten u.ä."
soep-pretest,pre_2001,40_4,1,Industry and works foreman in a salaried position,Industrie- und Werkmeister im Angestelltenverhältnis
soep-pretest,pre_2001,40_4,2,"Employee with simple duties, without training/education certificate",Angestellte mit einfacher Tätigkeit   ohne Ausbildungsabsch
soep-pretest,pre_2001,40_4,3,"Employee with simple duties, with training/education certificate",Angestellte mit einfacher Tätigkeit   mit Ausbildungsabschl
soep-pretest,pre_2001,40_4,4,"Employee with qualified duties (e.g. executive officer, bookkeeper, technical draftsman)",Angestellte mit qualifizierter Tätigkeit (z.B. Sachbearbeite
soep-pretest,pre_2001,40_4,5,"Employee with highly qualified duties or managerial function (e.g. scientist, attorney, head of department)",Angestellte mit hochqualifizierter Tätigkeit oder Leitungsfu
soep-pretest,pre_2001,40_4,6,"Employee with extensive managerial duties (e.g. managing director, manager, head of a large firm or concern)","Angestellte mit umfassenden Führungsaufgaben (z.B. Direktor,"
soep-pretest,pre_2001,40_5,1,Lower level,Einfacher Dienst
soep-pretest,pre_2001,40_5,2,Middle level,Mittlerer Dienst
soep-pretest,pre_2001,40_5,3,Upper level,Gehobener Dienst
soep-pretest,pre_2001,40_5,4,Executive level,Höherer Dienst
soep-pretest,pre_2001,41,1,Increased,Erhöht
soep-pretest,pre_2001,41,2,Decreased,Verringert
soep-pretest,pre_2001,41,3,No change,Gleichgeblieben
soep-pretest,pre_2001,41,4,Don't know,Weiß nicht
soep-pretest,pre_2001,42,1,Easy,Leicht
soep-pretest,pre_2001,42,2,Difficult,Schwierig
soep-pretest,pre_2001,42,3,Almost impossible,Praktisch unmöglich
soep-pretest,pre_2001,43,1,in one of the old federal states, in einem der alten Bundesländer
soep-pretest,pre_2001,43,2,in one of the new federal states, in einem der neuen Bundesländer
soep-pretest,pre_2001,43,3,in the west of Berlin, im Westteil Berlins
soep-pretest,pre_2001,43,4,in the east of Berlin, im Ostteil Berlins
soep-pretest,pre_2001,43,5,or abroad?, oder im Ausland?
soep-pretest,pre_2001,44,1,Yes,Ja
soep-pretest,pre_2001,44,2,No,Nein
soep-pretest,pre_2001,45,1,Every day,Täglich
soep-pretest,pre_2001,45,2,Once a week,Wöchentlich
soep-pretest,pre_2001,45,3,Less often,Seltener
soep-pretest,pre_2001,46,1,km,Entfernung in km:
soep-pretest,pre_2001,46,2,"Difficult to say, location of workplace varies","Nicht zu sagen, da wechselnder Arbeitsort"
soep-pretest,pre_2001,46,3,Workplace and home are in the same building,Arbeitsplatz und Wohnung sind im gleichen Haus
soep-pretest,pre_2001,47,1,Yes,Ja
soep-pretest,pre_2001,47,2,No,Nein
soep-pretest,pre_2001,47_1,1,Every day,Täglich
soep-pretest,pre_2001,47_1,2,Several times per week,Mehrmals in der Woche
soep-pretest,pre_2001,47_1,3,Every 2 to 4 weeks,Alle 2 bis 4 Wochen
soep-pretest,pre_2001,47_1,4,Less often,"Seltener, nur bei Bedarf"
soep-pretest,pre_2001,48,1,Days per week,Tage pro Woche
soep-pretest,pre_2001,48_1,1,"Does not apply, because number of days not fixed","Trifft nicht zu, da Zahl der Tage nicht festgelegt"
soep-pretest,pre_2001,48_1,2,"Does not apply, because weekly changing number of workdays","Trifft nicht zu, da wöchentlich wechselnde Zahl der Tage"
soep-pretest,pre_2001,49,1,Hours,Stunden
soep-pretest,pre_2001,49,2,"Changing, irregular","Wechselnd, unregelmäßig"
soep-pretest,pre_2001,50,1,Hours,Stunden
soep-pretest,pre_2001,50,2,Minutes,Minuten
soep-pretest,pre_2001,50,3,Changing,Wechselnd
soep-pretest,pre_2001,51,1,Hours per week,Stunden pro Woche
soep-pretest,pre_2001,51,2,No set hours,Keine festgelegte Arbeitszeit
soep-pretest,pre_2001,52,,Hours per week,Stunden pro Woche
soep-pretest,pre_2001,52_1,1,Yes,Ja
soep-pretest,pre_2001,52_1,2,No,Nein
soep-pretest,pre_2001,52_2,1,Yes,Ja
soep-pretest,pre_2001,52_2,2,No,Nein
soep-pretest,pre_2001,52_3,1,Yes,Ja
soep-pretest,pre_2001,52_3,2,No,Nein
soep-pretest,pre_2001,53,,Hours per week,Stunden pro Woche:
soep-pretest,pre_2001,54,1,Yes,Ja
soep-pretest,pre_2001,54,2,No,Nein
soep-pretest,pre_2001,54,3,"Not applicable, because I am self-employed","Trifft nicht zu, da Selbständiger"
soep-pretest,pre_2001,55,1,Yes: with the collected hours to be used by the end of the year,Ja und zwar: - mit Ausgleich bis zum Jahresende
soep-pretest,pre_2001,55,2,Yes: with the collected hours to be used within a shorter period of time,Ja und zwar: - mit kürzerer Ausgleichsfrist
soep-pretest,pre_2001,55,3,Yes: with the collected hours to be used within a longer period of time,Ja und zwar: - mit längerer Ausgleichsfrist
soep-pretest,pre_2001,55,4,No,Nein
soep-pretest,pre_2001,56,1,Compensated with time-off,Abgefeiert
soep-pretest,pre_2001,56,2,"Partly paid, partly compensated with time-off",Teils / teils
soep-pretest,pre_2001,56,3,Paid,Bezahlt
soep-pretest,pre_2001,56,4,Not compensated at all,Gar nicht abgegolten
soep-pretest,pre_2001,57,1,Yes: Hours,Ja und zwar: Stunden
soep-pretest,pre_2001,57,2,Paid hours:,Bezahlte Überstunden:
soep-pretest,pre_2001,57,3,No,Nein
soep-pretest,pre_2001,59,1,Yes,Ja
soep-pretest,pre_2001,59,2,No,Nein
soep-pretest,pre_2001,59_1,1,No second job,Keine Nebentätigkeit
soep-pretest,pre_2001,59_1,2,Second Job,Nebentätigkeit
soep-pretest,pre_2001,61,1,Yes,Ja
soep-pretest,pre_2001,61,2,No,Nein
soep-pretest,pre_2001,62,1,Yes,Ja
soep-pretest,pre_2001,62,2,No,Nein
soep-pretest,pre_2001,66,1,Yes,Ja
soep-pretest,pre_2001,66,2,No,Nein
soep-pretest,pre_2001,67,1,Yes,Ja
soep-pretest,pre_2001,67,2,No,Nein
soep-pretest,pre_2001,68,1,Yes,Ja
soep-pretest,pre_2001,68,2,No,Nein
soep-pretest,pre_2001,68_1,1,Lower secondary school qualification,Hauptschulabschluss
soep-pretest,pre_2001,68_1,2,Intermediate school certificate,Realschulabschluss / Mittlere Reife
