study,name,label,label_de,description,description_de,analysis_unit,conceptual_dataset,period
soep-pretest,pre_2004_online,"Pilot study 2004, Pretest online",,,,,,2004
soep-pretest,pre_2005_youth,"""Youth"" Questionnaire and cognitive test. Pretest  for SOEP 2006. ",,,,,,2005
soep-pretest,pre_2005_1,"Personality and daily routine. Behavioral experiments. Pretest June, Random",,,,,,2005
soep-pretest,pre_2005_2,Retest July. Personality and daily routine. ,,,,,,2005
soep-pretest,pre_2006,"Personality and community. Pretest June, Random. ",,,,,,2006
soep-pretest,pre_2007_muki_a,Pretest Mother and Child IIIa. Your preschool-aged child,,,,,,2007
soep-pretest,pre_2007_1,"Personality and health. Pretest January, February, March",,,,,,2007
soep-pretest,pre_2007_2,Private life and community. Pretest online survey,,,,,,2007
soep-pretest,pre_2008,CAPI - Pretest - Summer 2008,,,,,,2008
soep-pretest,pre_2008_muki_b,Pretest Mother and Child IIIb. Your child aged 5 or 6. Competence and behavior test with pre-school aged children and survey terms,,,,,,2008
soep-pretest,pre_2008_muki_c,Pretest Mother and Child IIIc. Your child aged 5 or 6.   ,,,,,,2008
soep-pretest,pre_2009,Consumer Spending and Budgeting,,,,,,2009
soep-pretest,pre_2010,"Social Networks, Economic Job Search Theory",,,,,,2010
soep-pretest,pre_2011,"Gender, personality and social inequality",,,,,,2011
